		NJAN  THUDANGY


SET=45	MISS=1	REF=4
SET=46	MISS=1	REF=61
SET=47	MISS=2	REF=13
SET=48	MISS=2	REF=6
SET=49	MISS=1	REF=26
SET=50	MISS=1	REF=1
SET=51	MISS=0	REF=0
SET=52	MISS=1	REF=44
SET=53	MISS=0	REF=0
SET=54	MISS=0	REF=0
SET=55	MISS=0	REF=0
SET=56	MISS=0	REF=0
SET=57	MISS=0	REF=0
SET=58	MISS=1	REF=21
SET=59	MISS=0	REF=0
SET=60	MISS=1	REF=33
SET=61	MISS=0	REF=0
SET=62	MISS=1	REF=32
SET=63	MISS=1	REF=2
SET=64	MISS=1	REF=2
SET=65	MISS=0	REF=0
SET=66	MISS=0	REF=0
SET=67	MISS=0	REF=0
SET=68	MISS=0	REF=0
SET=69	MISS=0	REF=0
SET=70	MISS=0	REF=0
SET=71	MISS=0	REF=1
SET=72	MISS=1	REF=2
SET=73	MISS=1	REF=21
SET=74	MISS=0	REF=0
SET=75	MISS=0	REF=0
SET=76	MISS=0	REF=0
SET=77	MISS=0	REF=0
SET=78	MISS=1	REF=2
SET=79	MISS=0	REF=0
SET=80	MISS=0	REF=0
SET=81	MISS=0	REF=0
SET=82	MISS=0	REF=0
SET=83	MISS=1	REF=62
SET=84	MISS=1	REF=40
SET=85	MISS=0	REF=0
SET=86	MISS=0	REF=0
SET=87	MISS=0	REF=0
SET=88	MISS=0	REF=0
SET=89	MISS=0	REF=0
SET=90	MISS=0	REF=0
SET=91	MISS=0	REF=0
SET=92	MISS=0	REF=0
SET=93	MISS=0	REF=0
SET=94	MISS=0	REF=0
SET=95	MISS=3	REF=48
SET=96	MISS=4	REF=28
SET=97	MISS=2	REF=4
SET=98	MISS=0	REF=0
SET=99	MISS=0	REF=0
SET=100	MISS=0	REF=0
SET=101	MISS=0	REF=0
SET=102	MISS=0	REF=0
SET=103	MISS=0	REF=0
SET=104	MISS=1	REF=65
SET=105	MISS=1	REF=47
SET=106	MISS=0	REF=0
SET=107	MISS=1	REF=43
SET=108	MISS=2	REF=12
SET=109	MISS=0	REF=0
SET=110	MISS=1	REF=1
SET=111	MISS=0	REF=0
SET=112	MISS=1	REF=2
SET=113	MISS=1	REF=1
SET=114	MISS=0	REF=0
SET=115	MISS=2	REF=28
SET=116	MISS=2	REF=32
SET=117	MISS=1	REF=41
SET=118	MISS=2	REF=145
SET=119	MISS=3	REF=222
SET=120	MISS=2	REF=249
SET=121	MISS=2	REF=168
SET=122	MISS=2	REF=87
SET=123	MISS=0	REF=0
SET=124	MISS=1	REF=2
SET=125	MISS=1	REF=4
SET=126	MISS=0	REF=0
SET=127	MISS=1	REF=6
		NJAN  THUDANGY



SET=0	MISS=2	REF=8
SET=1	MISS=0	REF=0
SET=2	MISS=1	REF=2
SET=3	MISS=2	REF=25
SET=4	MISS=1	REF=4
SET=5	MISS=1	REF=3
SET=6	MISS=1	REF=4
SET=7	MISS=0	REF=0
SET=8	MISS=1	REF=2
SET=9	MISS=1	REF=4
SET=10	MISS=0	REF=0
SET=11	MISS=1	REF=3
SET=12	MISS=1	REF=4
SET=13	MISS=0	REF=0
SET=14	MISS=1	REF=2
SET=15	MISS=2	REF=31
SET=16	MISS=1	REF=2
SET=17	MISS=1	REF=3
SET=18	MISS=1	REF=4
SET=19	MISS=1	REF=8
SET=20	MISS=2	REF=9
SET=21	MISS=2	REF=5
SET=22	MISS=0	REF=0
SET=23	MISS=2	REF=6
SET=24	MISS=1	REF=4
SET=25	MISS=0	REF=0
SET=26	MISS=1	REF=2
SET=27	MISS=2	REF=11
SET=28	MISS=1	REF=4
SET=29	MISS=1	REF=3
SET=30	MISS=2	REF=5
SET=31	MISS=0	REF=0
SET=32	MISS=1	REF=2
SET=33	MISS=1	REF=4
SET=34	MISS=1	REF=76
SET=35	MISS=1	REF=3
SET=36	MISS=3	REF=42
SET=37	MISS=1	REF=4
SET=38	MISS=2	REF=6
SET=39	MISS=2	REF=8
SET=40	MISS=2	REF=52
SET=41	MISS=1	REF=3
SET=42	MISS=3	REF=242
SET=43	MISS=0	REF=0
SET=44	MISS=1	REF=2
SET=45	MISS=1	REF=4
SET=46	MISS=1	REF=97
SET=47	MISS=2	REF=14
SET=48	MISS=2	REF=6
SET=49	MISS=1	REF=38
SET=50	MISS=2	REF=3
SET=51	MISS=1	REF=4
SET=52	MISS=1	REF=68
SET=53	MISS=1	REF=3
SET=54	MISS=1	REF=4
SET=55	MISS=0	REF=0
SET=56	MISS=1	REF=2
SET=57	MISS=1	REF=4
SET=58	MISS=1	REF=33
SET=59	MISS=1	REF=3
SET=60	MISS=2	REF=55
SET=61	MISS=0	REF=0
SET=62	MISS=2	REF=52
SET=63	MISS=2	REF=6
SET=64	MISS=1	REF=2
SET=65	MISS=1	REF=3
SET=66	MISS=1	REF=4
SET=67	MISS=0	REF=0
SET=68	MISS=1	REF=2
SET=69	MISS=1	REF=4
SET=70	MISS=0	REF=0
SET=71	MISS=1	REF=3
SET=72	MISS=1	REF=4
SET=73	MISS=1	REF=33
SET=74	MISS=1	REF=2
SET=75	MISS=1	REF=4
SET=76	MISS=0	REF=0
SET=77	MISS=1	REF=3
SET=78	MISS=2	REF=6
SET=79	MISS=0	REF=0
SET=80	MISS=1	REF=2
SET=81	MISS=1	REF=4
SET=82	MISS=0	REF=0
SET=83	MISS=2	REF=100
SET=84	MISS=2	REF=68
SET=85	MISS=0	REF=0
SET=86	MISS=0	REF=0
SET=87	MISS=0	REF=0
SET=88	MISS=0	REF=0
SET=89	MISS=0	REF=0
SET=90	MISS=0	REF=1
SET=91	MISS=0	REF=0
SET=92	MISS=0	REF=0
SET=93	MISS=0	REF=0
SET=94	MISS=0	REF=0
SET=95	MISS=3	REF=73
SET=96	MISS=4	REF=40
SET=97	MISS=2	REF=5
SET=98	MISS=1	REF=4
SET=99	MISS=1	REF=1
SET=100	MISS=0	REF=0
SET=101	MISS=0	REF=0
SET=102	MISS=0	REF=0
SET=103	MISS=0	REF=0
SET=104	MISS=1	REF=101
SET=105	MISS=1	REF=70
SET=106	MISS=0	REF=0
SET=107	MISS=1	REF=66
SET=108	MISS=2	REF=19
SET=109	MISS=0	REF=0
SET=110	MISS=1	REF=1
SET=111	MISS=0	REF=0
SET=112	MISS=1	REF=2
SET=113	MISS=1	REF=1
SET=114	MISS=0	REF=0
SET=115	MISS=2	REF=28
SET=116	MISS=2	REF=32
SET=117	MISS=1	REF=41
SET=118	MISS=2	REF=216
SET=119	MISS=3	REF=348
SET=120	MISS=2	REF=393
SET=121	MISS=2	REF=267
SET=122	MISS=2	REF=135
SET=123	MISS=0	REF=0
SET=124	MISS=1	REF=2
SET=125	MISS=1	REF=4
SET=126	MISS=0	REF=0
SET=127	MISS=1	REF=6
		NJAN  THUDANGY



SET=0	MISS=2	REF=8
SET=1	MISS=0	REF=0
SET=2	MISS=1	REF=2
SET=3	MISS=2	REF=33
SET=4	MISS=1	REF=7
SET=5	MISS=1	REF=3
SET=6	MISS=1	REF=4
SET=7	MISS=0	REF=0
SET=8	MISS=1	REF=2
SET=9	MISS=1	REF=4
SET=10	MISS=0	REF=0
SET=11	MISS=1	REF=3
SET=12	MISS=1	REF=4
SET=13	MISS=0	REF=0
SET=14	MISS=1	REF=2
SET=15	MISS=3	REF=43
SET=16	MISS=2	REF=6
SET=17	MISS=1	REF=3
SET=18	MISS=1	REF=4
SET=19	MISS=1	REF=11
SET=20	MISS=2	REF=11
SET=21	MISS=2	REF=5
SET=22	MISS=1	REF=1
SET=23	MISS=2	REF=6
SET=24	MISS=1	REF=4
SET=25	MISS=0	REF=0
SET=26	MISS=1	REF=2
SET=27	MISS=2	REF=11
SET=28	MISS=1	REF=4
SET=29	MISS=1	REF=3
SET=30	MISS=2	REF=5
SET=31	MISS=0	REF=0
SET=32	MISS=1	REF=2
SET=33	MISS=1	REF=4
SET=34	MISS=1	REF=102
SET=35	MISS=1	REF=3
SET=36	MISS=3	REF=54
SET=37	MISS=1	REF=4
SET=38	MISS=2	REF=6
SET=39	MISS=2	REF=8
SET=40	MISS=2	REF=73
SET=41	MISS=2	REF=6
SET=42	MISS=3	REF=326
SET=43	MISS=0	REF=0
SET=44	MISS=1	REF=2
SET=45	MISS=1	REF=4
SET=46	MISS=1	REF=133
SET=47	MISS=2	REF=14
SET=48	MISS=2	REF=6
SET=49	MISS=1	REF=50
SET=50	MISS=2	REF=3
SET=51	MISS=1	REF=4
SET=52	MISS=1	REF=92
SET=53	MISS=1	REF=3
SET=54	MISS=1	REF=4
SET=55	MISS=0	REF=0
SET=56	MISS=1	REF=2
SET=57	MISS=1	REF=4
SET=58	MISS=1	REF=45
SET=59	MISS=1	REF=3
SET=60	MISS=2	REF=73
SET=61	MISS=0	REF=0
SET=62	MISS=2	REF=70
SET=63	MISS=2	REF=6
SET=64	MISS=1	REF=2
SET=65	MISS=1	REF=3
SET=66	MISS=1	REF=4
SET=67	MISS=0	REF=0
SET=68	MISS=1	REF=2
SET=69	MISS=1	REF=4
SET=70	MISS=0	REF=0
SET=71	MISS=1	REF=3
SET=72	MISS=1	REF=4
SET=73	MISS=1	REF=45
SET=74	MISS=1	REF=2
SET=75	MISS=1	REF=4
SET=76	MISS=0	REF=0
SET=77	MISS=1	REF=3
SET=78	MISS=2	REF=6
SET=79	MISS=0	REF=0
SET=80	MISS=1	REF=2
SET=81	MISS=1	REF=4
SET=82	MISS=0	REF=0
SET=83	MISS=2	REF=137
SET=84	MISS=2	REF=92
SET=85	MISS=0	REF=0
SET=86	MISS=1	REF=2
SET=87	MISS=1	REF=4
SET=88	MISS=0	REF=0
SET=89	MISS=1	REF=3
SET=90	MISS=1	REF=4
SET=91	MISS=0	REF=0
SET=92	MISS=1	REF=2
SET=93	MISS=1	REF=4
SET=94	MISS=0	REF=0
SET=95	MISS=3	REF=98
SET=96	MISS=4	REF=54
SET=97	MISS=2	REF=5
SET=98	MISS=2	REF=6
SET=99	MISS=2	REF=8
SET=100	MISS=1	REF=3
SET=101	MISS=1	REF=3
SET=102	MISS=1	REF=4
SET=103	MISS=0	REF=0
SET=104	MISS=2	REF=139
SET=105	MISS=2	REF=99
SET=106	MISS=0	REF=0
SET=107	MISS=2	REF=90
SET=108	MISS=3	REF=27
SET=109	MISS=0	REF=0
SET=110	MISS=2	REF=3
SET=111	MISS=1	REF=4
SET=112	MISS=1	REF=2
SET=113	MISS=2	REF=4
SET=114	MISS=1	REF=4
SET=115	MISS=2	REF=28
SET=116	MISS=3	REF=34
SET=117	MISS=2	REF=45
SET=118	MISS=2	REF=291
SET=119	MISS=4	REF=480
SET=120	MISS=3	REF=552
SET=121	MISS=2	REF=372
SET=122	MISS=2	REF=183
SET=123	MISS=0	REF=0
SET=124	MISS=1	REF=2
SET=125	MISS=1	REF=4
SET=126	MISS=0	REF=0
SET=127	MISS=1	REF=6
		NJAN  THUDANGY



SET=0	MISS=3	REF=10
SET=1	MISS=1	REF=4
SET=2	MISS=1	REF=2
SET=3	MISS=3	REF=42
SET=4	MISS=2	REF=12
SET=5	MISS=1	REF=3
